property_id,title,description,area_sqft,location,bedrooms,bathrooms,property_type,amenities,listing_date,image_url,price_usd
UK0012,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1381,"Manchester, UK",6,4,Apartment,"Smart Home System, Solar Panels, Backyard, Fireplace, Swimming Pool, Central AC",2024-02-13,https://images.pexels.com/photos/8963083/pexels-photo-8963083.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,372274.0
UK0013,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2535,"Birmingham, UK",2,4,Townhouse,"Central AC, Swimming Pool, Garage, Fireplace",2025-11-16,https://images.pexels.com/photos/2079234/pexels-photo-2079234.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1527779.0
UK0014,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2124,"Leeds, UK",6,4,Single Family Home,"Backyard, Smart Home System, Swimming Pool",2024-08-18,https://images.pexels.com/photos/3665354/pexels-photo-3665354.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,576601.0
UK0015,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1616,"Liverpool, UK",5,4,Single Family Home,"Security System, Smart Home System, Backyard, Walk-in Closet",2025-01-11,https://images.pexels.com/photos/8134846/pexels-photo-8134846.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,645943.0
UK0016,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,4579,"Bristol, UK",2,4,Penthouse,"Fireplace, Walk-in Closet, Security System, Central AC, Garage, Solar Panels",2025-11-19,https://images.pexels.com/photos/3016321/pexels-photo-3016321.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,810506.0
UK0017,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3575,"Oxford, UK",5,2,Penthouse,"Smart Home System, Fireplace, Swimming Pool, Central AC",2024-07-28,https://images.pexels.com/photos/206172/pexels-photo-206172.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,805156.0
UK0018,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1948,"Cambridge, UK",4,4,Apartment,"Swimming Pool, Smart Home System, Fireplace, Garage, Backyard",2024-02-23,https://images.pexels.com/photos/7031595/pexels-photo-7031595.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1517080.0
UK0019,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3859,"Nottingham, UK",6,2,Penthouse,"Walk-in Closet, Solar Panels, Security System",2024-08-12,https://images.pexels.com/photos/5563473/pexels-photo-5563473.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1141795.0
UK0020,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4929,"Sheffield, UK",5,2,Single Family Home,"Smart Home System, Solar Panels, Swimming Pool, Security System, Backyard, Walk-in Closet",2024-09-18,https://images.pexels.com/photos/1022936/pexels-photo-1022936.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,707526.0
UK0021,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4054,"London, UK",6,5,Penthouse,"Backyard, Central AC, Walk-in Closet, Solar Panels, Security System",2025-05-10,https://images.pexels.com/photos/280229/pexels-photo-280229.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,834185.0
UK0022,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3727,"Manchester, UK",6,3,Penthouse,"Security System, Garage, Smart Home System",2024-10-01,https://images.pexels.com/photos/7031405/pexels-photo-7031405.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1207994.0
UK0023,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3832,"Birmingham, UK",3,5,Condo,"Garage, Swimming Pool, Backyard, Central AC, Walk-in Closet",2024-06-08,https://images.pexels.com/photos/15827510/pexels-photo-15827510.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1098239.0
UK0024,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1449,"Leeds, UK",3,5,Single Family Home,"Swimming Pool, Smart Home System, Central AC, Security System",2025-10-25,https://images.pexels.com/photos/2972969/pexels-photo-2972969.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1872227.0
UK0025,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,5391,"Liverpool, UK",2,5,Condo,"Swimming Pool, Garage, Walk-in Closet, Central AC, Smart Home System, Fireplace",2024-06-14,https://images.pexels.com/photos/5252546/pexels-photo-5252546.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1160518.0
UK0026,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1794,"Bristol, UK",5,4,Single Family Home,"Security System, Walk-in Closet, Smart Home System, Central AC, Solar Panels, Backyard",2024-12-26,https://images.pexels.com/photos/5644339/pexels-photo-5644339.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1569959.0
UK0027,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2569,"Oxford, UK",5,2,Townhouse,"Walk-in Closet, Central AC, Solar Panels",2024-12-08,https://images.pexels.com/photos/323781/pexels-photo-323781.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1286935.0
UK0028,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2335,"Cambridge, UK",5,4,Townhouse,"Garage, Swimming Pool, Central AC, Smart Home System, Backyard, Security System",2024-05-17,https://images.pexels.com/photos/11549989/pexels-photo-11549989.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1063635.0
UK0029,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3792,"Nottingham, UK",4,2,Villa,"Garage, Smart Home System, Backyard",2025-06-15,https://images.pexels.com/photos/358636/pexels-photo-358636.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,434629.0
UK0030,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4103,"Sheffield, UK",6,3,Townhouse,"Solar Panels, Backyard, Security System, Fireplace",2024-11-22,https://images.pexels.com/photos/13203193/pexels-photo-13203193.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1755021.0
UK0031,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1806,"London, UK",2,2,Villa,"Solar Panels, Garage, Swimming Pool, Walk-in Closet, Backyard, Central AC",2024-11-25,https://images.pexels.com/photos/3571200/pexels-photo-3571200.png?auto=compress&cs=tinysrgb&h=650&w=940,1490631.0
UK0032,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1566,"Manchester, UK",2,4,Townhouse,"Security System, Walk-in Closet, Garage",2025-08-08,https://images.pexels.com/photos/7031407/pexels-photo-7031407.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,481652.0
UK0033,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1798,"Birmingham, UK",2,5,Penthouse,"Backyard, Garage, Smart Home System",2025-06-21,https://images.pexels.com/photos/8134817/pexels-photo-8134817.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1823832.0
UK0034,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,5252,"Leeds, UK",6,5,Townhouse,"Smart Home System, Fireplace, Swimming Pool, Walk-in Closet",2024-06-20,https://images.pexels.com/photos/7031413/pexels-photo-7031413.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,139539.0
UK0035,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2293,"Liverpool, UK",3,2,Townhouse,"Smart Home System, Fireplace, Walk-in Closet",2025-04-29,https://images.pexels.com/photos/26812642/pexels-photo-26812642.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,910014.0
UK0036,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3455,"Bristol, UK",3,5,Villa,"Garage, Backyard, Solar Panels, Central AC, Security System",2025-07-28,https://images.pexels.com/photos/7587882/pexels-photo-7587882.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1083899.0
UK0037,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,4010,"Oxford, UK",4,3,Penthouse,"Smart Home System, Central AC, Backyard, Swimming Pool, Security System",2025-09-02,https://images.pexels.com/photos/7031406/pexels-photo-7031406.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,209374.0
UK0038,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3235,"Cambridge, UK",3,3,Villa,"Swimming Pool, Fireplace, Central AC, Solar Panels, Garage, Smart Home System",2025-09-02,https://images.pexels.com/photos/323775/pexels-photo-323775.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1968355.0
UK0039,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1584,"Nottingham, UK",5,5,Apartment,"Central AC, Garage, Backyard, Fireplace",2025-08-11,https://images.pexels.com/photos/5213344/pexels-photo-5213344.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,329066.0
UK0040,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1223,"Sheffield, UK",6,4,Penthouse,"Walk-in Closet, Solar Panels, Backyard, Central AC, Fireplace, Garage",2024-11-13,https://images.pexels.com/photos/18273285/pexels-photo-18273285.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,593879.0
UK0041,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,5473,"London, UK",3,3,Townhouse,"Fireplace, Backyard, Smart Home System",2024-12-26,https://images.pexels.com/photos/7587878/pexels-photo-7587878.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,373512.0
UK0042,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2542,"Manchester, UK",6,3,Condo,"Swimming Pool, Garage, Fireplace, Backyard",2025-09-14,https://images.pexels.com/photos/8134748/pexels-photo-8134748.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1514258.0
UK0043,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2574,"Birmingham, UK",6,2,Condo,"Walk-in Closet, Security System, Swimming Pool, Fireplace, Smart Home System, Solar Panels",2024-08-10,https://images.pexels.com/photos/13203184/pexels-photo-13203184.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,645937.0
UK0044,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,3153,"Leeds, UK",5,5,Townhouse,"Smart Home System, Backyard, Walk-in Closet",2024-01-02,https://images.pexels.com/photos/259588/pexels-photo-259588.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,478555.0
UK0045,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2007,"Liverpool, UK",2,4,Townhouse,"Walk-in Closet, Fireplace, Smart Home System, Backyard, Solar Panels, Central AC",2025-02-26,https://images.pexels.com/photos/33162457/pexels-photo-33162457.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1950453.0
UK0046,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2701,"Bristol, UK",2,5,Single Family Home,"Smart Home System, Garage, Walk-in Closet, Swimming Pool, Fireplace, Central AC",2024-05-29,https://images.pexels.com/photos/2254182/pexels-photo-2254182.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,406100.0
UK0047,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1623,"Oxford, UK",3,4,Condo,"Smart Home System, Garage, Walk-in Closet, Security System, Central AC",2024-05-10,https://images.pexels.com/photos/12713155/pexels-photo-12713155.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,156015.0
UK0048,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2068,"Cambridge, UK",2,4,Townhouse,"Central AC, Backyard, Garage",2024-02-08,https://images.pexels.com/photos/12119564/pexels-photo-12119564.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,766950.0
UK0049,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2897,"Nottingham, UK",4,5,Condo,"Solar Panels, Walk-in Closet, Backyard, Smart Home System",2024-10-09,https://images.pexels.com/photos/1105754/pexels-photo-1105754.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,532074.0
UK0050,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1399,"Sheffield, UK",2,3,Villa,"Garage, Security System, Fireplace, Swimming Pool, Smart Home System, Backyard",2024-05-16,https://images.pexels.com/photos/164558/pexels-photo-164558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,736056.0
UK0051,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3687,"London, UK",6,2,Condo,"Central AC, Solar Panels, Security System, Backyard",2024-12-06,https://images.pexels.com/photos/4832503/pexels-photo-4832503.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1061896.0
UK0052,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,3862,"Manchester, UK",6,4,Condo,"Smart Home System, Security System, Solar Panels, Central AC",2025-05-14,https://images.pexels.com/photos/5644257/pexels-photo-5644257.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,543691.0
UK0053,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1570,"Birmingham, UK",3,5,Villa,"Backyard, Walk-in Closet, Swimming Pool",2024-09-25,https://images.pexels.com/photos/31737860/pexels-photo-31737860.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,154817.0
UK0054,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,5159,"Leeds, UK",5,5,Townhouse,"Security System, Fireplace, Swimming Pool, Garage",2025-01-28,https://images.pexels.com/photos/4394214/pexels-photo-4394214.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,432636.0
UK0055,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2247,"Liverpool, UK",2,5,Villa,"Garage, Smart Home System, Security System, Fireplace, Walk-in Closet",2024-04-22,https://images.pexels.com/photos/8134745/pexels-photo-8134745.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1351569.0
UK0056,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2831,"Bristol, UK",6,3,Penthouse,"Fireplace, Security System, Swimming Pool",2024-10-14,https://images.pexels.com/photos/13041121/pexels-photo-13041121.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,870754.0
UK0057,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,3276,"Oxford, UK",4,3,Apartment,"Security System, Garage, Central AC",2024-07-06,https://images.pexels.com/photos/4258282/pexels-photo-4258282.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1187471.0
UK0058,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,5060,"Cambridge, UK",4,4,Villa,"Walk-in Closet, Backyard, Swimming Pool, Smart Home System, Solar Panels",2024-12-25,https://images.pexels.com/photos/12713153/pexels-photo-12713153.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1289470.0
UK0059,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4304,"Nottingham, UK",6,4,Single Family Home,"Garage, Solar Panels, Fireplace, Central AC, Backyard, Walk-in Closet",2025-03-05,https://images.pexels.com/photos/186077/pexels-photo-186077.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,822720.0
UK0060,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,5015,"Sheffield, UK",5,5,Townhouse,"Smart Home System, Central AC, Swimming Pool, Solar Panels, Garage",2025-11-20,https://images.pexels.com/photos/93375/pexels-photo-93375.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1596115.0
UK0061,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2521,"London, UK",4,4,Single Family Home,"Security System, Walk-in Closet, Backyard",2024-09-28,https://images.pexels.com/photos/3612406/pexels-photo-3612406.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1195786.0
UK0062,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2473,"Manchester, UK",2,5,Townhouse,"Walk-in Closet, Swimming Pool, Garage, Central AC",2024-08-20,https://images.pexels.com/photos/35705942/pexels-photo-35705942.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,324874.0
UK0063,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2322,"Birmingham, UK",5,5,Penthouse,"Security System, Fireplace, Garage, Central AC",2025-03-03,https://images.pexels.com/photos/5505129/pexels-photo-5505129.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,808480.0
UK0064,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,4148,"Leeds, UK",3,5,Condo,"Garage, Solar Panels, Smart Home System, Fireplace, Security System, Backyard",2024-11-29,https://images.pexels.com/photos/6510949/pexels-photo-6510949.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,751420.0
UK0065,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,5040,"Liverpool, UK",2,2,Villa,"Security System, Solar Panels, Swimming Pool, Central AC, Backyard, Smart Home System",2025-03-22,https://images.pexels.com/photos/17924970/pexels-photo-17924970.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1793041.0
UK0066,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2869,"Bristol, UK",5,5,Condo,"Security System, Central AC, Swimming Pool, Fireplace",2025-06-15,https://images.pexels.com/photos/7031608/pexels-photo-7031608.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,122109.0
UK0067,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1750,"Oxford, UK",3,2,Condo,"Solar Panels, Garage, Security System, Smart Home System",2025-02-17,https://images.pexels.com/photos/4070983/pexels-photo-4070983.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,106846.0
UK0068,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1107,"Cambridge, UK",6,2,Apartment,"Central AC, Fireplace, Backyard, Solar Panels, Smart Home System",2025-07-11,https://images.pexels.com/photos/35306093/pexels-photo-35306093.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1199196.0
UK0069,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2912,"Nottingham, UK",6,5,Condo,"Central AC, Fireplace, Backyard, Solar Panels, Security System, Walk-in Closet",2025-08-07,https://images.pexels.com/photos/2119714/pexels-photo-2119714.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1084023.0
UK0070,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,3361,"Sheffield, UK",2,3,Single Family Home,"Backyard, Fireplace, Central AC",2024-12-31,https://images.pexels.com/photos/9976121/pexels-photo-9976121.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,940277.0
UK0071,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,2570,"London, UK",5,4,Townhouse,"Swimming Pool, Central AC, Smart Home System, Garage, Solar Panels",2025-05-05,https://images.pexels.com/photos/32666364/pexels-photo-32666364.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,251794.0
UK0072,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,3566,"Manchester, UK",6,5,Townhouse,"Solar Panels, Security System, Swimming Pool, Backyard, Fireplace",2025-07-07,https://images.pexels.com/photos/4123921/pexels-photo-4123921.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1389999.0
UK0073,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,5059,"Birmingham, UK",5,3,Apartment,"Swimming Pool, Walk-in Closet, Smart Home System, Solar Panels, Backyard",2025-05-08,https://images.pexels.com/photos/3010014/pexels-photo-3010014.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,262602.0
UK0074,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,4673,"Leeds, UK",3,2,Single Family Home,"Swimming Pool, Garage, Backyard, Security System, Fireplace, Smart Home System",2025-03-26,https://images.pexels.com/photos/4469150/pexels-photo-4469150.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,133718.0
UK0075,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2605,"Liverpool, UK",6,2,Single Family Home,"Solar Panels, Backyard, Fireplace, Central AC, Security System",2024-05-31,https://images.pexels.com/photos/30278097/pexels-photo-30278097.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,905203.0
UK0076,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1607,"Bristol, UK",6,2,Condo,"Fireplace, Central AC, Swimming Pool, Backyard, Smart Home System",2025-04-07,https://images.pexels.com/photos/129494/pexels-photo-129494.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1382055.0
UK0077,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,5402,"Oxford, UK",4,5,Penthouse,"Garage, Central AC, Solar Panels, Walk-in Closet",2025-08-20,https://images.pexels.com/photos/8962343/pexels-photo-8962343.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1219372.0
UK0078,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1260,"Cambridge, UK",4,3,Condo,"Central AC, Swimming Pool, Smart Home System, Garage, Solar Panels, Backyard",2024-10-24,https://images.pexels.com/photos/2455398/pexels-photo-2455398.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,342016.0
UK0079,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1553,"Nottingham, UK",4,4,Penthouse,"Swimming Pool, Smart Home System, Solar Panels, Central AC, Garage, Fireplace",2024-12-21,https://images.pexels.com/photos/7031412/pexels-photo-7031412.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,575044.0
UK0080,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1717,"Sheffield, UK",6,2,Townhouse,"Backyard, Swimming Pool, Central AC, Solar Panels",2025-06-07,https://images.pexels.com/photos/277667/pexels-photo-277667.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,464423.0
UK0081,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,911,"London, UK",4,2,Villa,"Walk-in Closet, Swimming Pool, Smart Home System",2024-03-02,https://images.pexels.com/photos/18435276/pexels-photo-18435276.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,945024.0
UK0082,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,3961,"Manchester, UK",3,3,Penthouse,"Swimming Pool, Central AC, Backyard, Walk-in Closet, Security System, Solar Panels",2025-10-12,https://images.pexels.com/photos/17174768/pexels-photo-17174768.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,166515.0
UK0083,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1650,"Birmingham, UK",2,4,Penthouse,"Garage, Smart Home System, Walk-in Closet, Central AC",2024-05-25,https://images.pexels.com/photos/17174766/pexels-photo-17174766.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,1807455.0
UK0084,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2576,"Leeds, UK",5,5,Apartment,"Walk-in Closet, Swimming Pool, Security System",2025-04-26,https://images.pexels.com/photos/17174767/pexels-photo-17174767.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,944642.0
UK0085,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2943,"Liverpool, UK",4,3,Penthouse,"Garage, Fireplace, Backyard",2024-09-16,https://images.pexels.com/photos/7031408/pexels-photo-7031408.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,590854.0
