property_id,title,description,price_usd,area_sqft,location,bedrooms,bathrooms,property_type,amenities,listing_date,image_url
USA0011,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,685401,4744,"Houston, TX",5,3,Penthouse,"Solar Panels, Swimming Pool, Security System",2024-03-15,https://images.pexels.com/photos/7031604/pexels-photo-7031604.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0012,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,471233,1381,"Chicago, IL",6,4,Apartment,"Smart Home System, Solar Panels, Backyard, Fireplace, Swimming Pool, Central AC",2024-02-13,https://images.pexels.com/photos/8963083/pexels-photo-8963083.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0013,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1933897,2535,"Houston, TX",2,4,Townhouse,"Central AC, Swimming Pool, Garage, Fireplace",2025-11-16,https://images.pexels.com/photos/2079234/pexels-photo-2079234.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0014,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,729875,2124,"San Francisco, CA",6,4,Single Family Home,"Backyard, Smart Home System, Swimming Pool",2024-08-18,https://images.pexels.com/photos/3665354/pexels-photo-3665354.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0015,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,817649,1616,"Atlanta, GA",5,4,Single Family Home,"Security System, Smart Home System, Backyard, Walk-in Closet",2025-01-11,https://images.pexels.com/photos/8134846/pexels-photo-8134846.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0016,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1025957,4579,"Chicago, IL",2,4,Penthouse,"Fireplace, Walk-in Closet, Security System, Central AC, Garage, Solar Panels",2025-11-19,https://images.pexels.com/photos/3016321/pexels-photo-3016321.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0017,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1019185,3575,"Boston, MA",5,2,Penthouse,"Smart Home System, Fireplace, Swimming Pool, Central AC",2024-07-28,https://images.pexels.com/photos/206172/pexels-photo-206172.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0018,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1920354,1948,"Boston, MA",4,4,Apartment,"Swimming Pool, Smart Home System, Fireplace, Garage, Backyard",2024-02-23,https://images.pexels.com/photos/7031595/pexels-photo-7031595.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0019,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1445310,3859,"Boston, MA",6,2,Penthouse,"Walk-in Closet, Solar Panels, Security System",2024-08-12,https://images.pexels.com/photos/5563473/pexels-photo-5563473.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0020,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,895602,4929,"Boston, MA",5,2,Single Family Home,"Smart Home System, Solar Panels, Swimming Pool, Security System, Backyard, Walk-in Closet",2024-09-18,https://images.pexels.com/photos/1022936/pexels-photo-1022936.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0021,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1055931,4054,"Chicago, IL",6,5,Penthouse,"Backyard, Central AC, Walk-in Closet, Solar Panels, Security System",2025-05-10,https://images.pexels.com/photos/280229/pexels-photo-280229.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0022,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1529106,3727,"Los Angeles, CA",6,3,Penthouse,"Security System, Garage, Smart Home System",2024-10-01,https://images.pexels.com/photos/7031405/pexels-photo-7031405.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0023,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1390176,3832,"Houston, TX",3,5,Condo,"Garage, Swimming Pool, Backyard, Central AC, Walk-in Closet",2024-06-08,https://images.pexels.com/photos/15827510/pexels-photo-15827510.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0024,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2369908,1449,"Houston, TX",3,5,Single Family Home,"Swimming Pool, Smart Home System, Central AC, Security System",2025-10-25,https://images.pexels.com/photos/2972969/pexels-photo-2972969.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0025,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1469010,5391,"San Francisco, CA",2,5,Condo,"Swimming Pool, Garage, Walk-in Closet, Central AC, Smart Home System, Fireplace",2024-06-14,https://images.pexels.com/photos/5252546/pexels-photo-5252546.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0026,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1987290,1794,"San Francisco, CA",5,4,Single Family Home,"Security System, Walk-in Closet, Smart Home System, Central AC, Solar Panels, Backyard",2024-12-26,https://images.pexels.com/photos/5644339/pexels-photo-5644339.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0027,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1629032,2569,"Atlanta, GA",5,2,Townhouse,"Walk-in Closet, Central AC, Solar Panels",2024-12-08,https://images.pexels.com/photos/323781/pexels-photo-323781.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0028,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1346374,2335,"Atlanta, GA",5,4,Townhouse,"Garage, Swimming Pool, Central AC, Smart Home System, Backyard, Security System",2024-05-17,https://images.pexels.com/photos/11549989/pexels-photo-11549989.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0029,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,550163,3792,"Austin, TX",4,2,Villa,"Garage, Smart Home System, Backyard",2025-06-15,https://images.pexels.com/photos/358636/pexels-photo-358636.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0030,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2221545,4103,"Atlanta, GA",6,3,Townhouse,"Solar Panels, Backyard, Security System, Fireplace",2024-11-22,https://images.pexels.com/photos/13203193/pexels-photo-13203193.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0031,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1886875,1806,"San Francisco, CA",2,2,Villa,"Solar Panels, Garage, Swimming Pool, Walk-in Closet, Backyard, Central AC",2024-11-25,https://images.pexels.com/photos/3571200/pexels-photo-3571200.png?auto=compress&cs=tinysrgb&h=650&w=940
USA0032,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,609686,1566,"Seattle, WA",2,4,Townhouse,"Security System, Walk-in Closet, Garage",2025-08-08,https://images.pexels.com/photos/7031407/pexels-photo-7031407.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0033,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2308648,1798,"Boston, MA",2,5,Penthouse,"Backyard, Garage, Smart Home System",2025-06-21,https://images.pexels.com/photos/8134817/pexels-photo-8134817.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0034,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,176632,5252,"Los Angeles, CA",6,5,Townhouse,"Smart Home System, Fireplace, Swimming Pool, Walk-in Closet",2024-06-20,https://images.pexels.com/photos/7031413/pexels-photo-7031413.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0035,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1151917,2293,"Seattle, WA",3,2,Townhouse,"Smart Home System, Fireplace, Walk-in Closet",2025-04-29,https://images.pexels.com/photos/26812642/pexels-photo-26812642.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0036,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1372024,3455,"San Francisco, CA",3,5,Villa,"Garage, Backyard, Solar Panels, Central AC, Security System",2025-07-28,https://images.pexels.com/photos/7587882/pexels-photo-7587882.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0037,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,265030,4010,"Atlanta, GA",4,3,Penthouse,"Smart Home System, Central AC, Backyard, Swimming Pool, Security System",2025-09-02,https://images.pexels.com/photos/7031406/pexels-photo-7031406.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0038,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2491589,3235,"Chicago, IL",3,3,Villa,"Swimming Pool, Fireplace, Central AC, Solar Panels, Garage, Smart Home System",2025-09-02,https://images.pexels.com/photos/323775/pexels-photo-323775.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0039,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,416539,1584,"Atlanta, GA",5,5,Apartment,"Central AC, Garage, Backyard, Fireplace",2025-08-11,https://images.pexels.com/photos/5213344/pexels-photo-5213344.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0040,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,751745,1223,"New York, NY",6,4,Penthouse,"Walk-in Closet, Solar Panels, Backyard, Central AC, Fireplace, Garage",2024-11-13,https://images.pexels.com/photos/18273285/pexels-photo-18273285.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0041,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,472800,5473,"Los Angeles, CA",3,3,Townhouse,"Fireplace, Backyard, Smart Home System",2024-12-26,https://images.pexels.com/photos/7587878/pexels-photo-7587878.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0042,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1916782,2542,"Los Angeles, CA",6,3,Condo,"Swimming Pool, Garage, Fireplace, Backyard",2025-09-14,https://images.pexels.com/photos/8134748/pexels-photo-8134748.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0043,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,817642,2574,"New York, NY",6,2,Condo,"Walk-in Closet, Security System, Swimming Pool, Fireplace, Smart Home System, Solar Panels",2024-08-10,https://images.pexels.com/photos/13203184/pexels-photo-13203184.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0044,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,605766,3153,"Atlanta, GA",5,5,Townhouse,"Smart Home System, Backyard, Walk-in Closet",2024-01-02,https://images.pexels.com/photos/259588/pexels-photo-259588.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0045,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,2468928,2007,"Boston, MA",2,4,Townhouse,"Walk-in Closet, Fireplace, Smart Home System, Backyard, Solar Panels, Central AC",2025-02-26,https://images.pexels.com/photos/33162457/pexels-photo-33162457.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0046,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,514051,2701,"Seattle, WA",2,5,Single Family Home,"Smart Home System, Garage, Walk-in Closet, Swimming Pool, Fireplace, Central AC",2024-05-29,https://images.pexels.com/photos/2254182/pexels-photo-2254182.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0047,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,197487,1623,"San Francisco, CA",3,4,Condo,"Smart Home System, Garage, Walk-in Closet, Security System, Central AC",2024-05-10,https://images.pexels.com/photos/12713155/pexels-photo-12713155.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0048,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,970823,2068,"Atlanta, GA",2,4,Townhouse,"Central AC, Backyard, Garage",2024-02-08,https://images.pexels.com/photos/12119564/pexels-photo-12119564.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0049,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,673511,2897,"Seattle, WA",4,5,Condo,"Solar Panels, Walk-in Closet, Backyard, Smart Home System",2024-10-09,https://images.pexels.com/photos/1105754/pexels-photo-1105754.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0050,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,931716,1399,"Los Angeles, CA",2,3,Villa,"Garage, Security System, Fireplace, Swimming Pool, Smart Home System, Backyard",2024-05-16,https://images.pexels.com/photos/164558/pexels-photo-164558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0051,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1344172,3687,"San Francisco, CA",6,2,Condo,"Central AC, Solar Panels, Security System, Backyard",2024-12-06,https://images.pexels.com/photos/4832503/pexels-photo-4832503.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0052,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,688217,3862,"Chicago, IL",6,4,Condo,"Smart Home System, Security System, Solar Panels, Central AC",2025-05-14,https://images.pexels.com/photos/5644257/pexels-photo-5644257.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0053,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,195971,1570,"San Francisco, CA",3,5,Villa,"Backyard, Walk-in Closet, Swimming Pool",2024-09-25,https://images.pexels.com/photos/31737860/pexels-photo-31737860.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0054,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,547641,5159,"Seattle, WA",5,5,Townhouse,"Security System, Fireplace, Swimming Pool, Garage",2025-01-28,https://images.pexels.com/photos/4394214/pexels-photo-4394214.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0055,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1710847,2247,"New York, NY",2,5,Villa,"Garage, Smart Home System, Security System, Fireplace, Walk-in Closet",2024-04-22,https://images.pexels.com/photos/8134745/pexels-photo-8134745.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0056,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1102220,2831,"Seattle, WA",6,3,Penthouse,"Fireplace, Security System, Swimming Pool",2024-10-14,https://images.pexels.com/photos/13041121/pexels-photo-13041121.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0057,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1503128,3276,"New York, NY",4,3,Apartment,"Security System, Garage, Central AC",2024-07-06,https://images.pexels.com/photos/4258282/pexels-photo-4258282.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0058,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1632240,5060,"San Francisco, CA",4,4,Villa,"Walk-in Closet, Backyard, Swimming Pool, Smart Home System, Solar Panels",2024-12-25,https://images.pexels.com/photos/12713153/pexels-photo-12713153.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0059,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1041418,4304,"New York, NY",6,4,Single Family Home,"Garage, Solar Panels, Fireplace, Central AC, Backyard, Walk-in Closet",2025-03-05,https://images.pexels.com/photos/186077/pexels-photo-186077.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0060,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2020399,5015,"Chicago, IL",5,5,Townhouse,"Smart Home System, Central AC, Swimming Pool, Solar Panels, Garage",2025-11-20,https://images.pexels.com/photos/93375/pexels-photo-93375.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0061,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1513653,2521,"Boston, MA",4,4,Single Family Home,"Security System, Walk-in Closet, Backyard",2024-09-28,https://images.pexels.com/photos/3612406/pexels-photo-3612406.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0062,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,411233,2473,"Atlanta, GA",2,5,Townhouse,"Walk-in Closet, Swimming Pool, Garage, Central AC",2024-08-20,https://images.pexels.com/photos/35705942/pexels-photo-35705942.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0063,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1023392,2322,"Miami, FL",5,5,Penthouse,"Security System, Fireplace, Garage, Central AC",2025-03-03,https://images.pexels.com/photos/5505129/pexels-photo-5505129.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0064,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,951165,4148,"Miami, FL",3,5,Condo,"Garage, Solar Panels, Smart Home System, Fireplace, Security System, Backyard",2024-11-29,https://images.pexels.com/photos/6510949/pexels-photo-6510949.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0065,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,2269672,5040,"Seattle, WA",2,2,Villa,"Security System, Solar Panels, Swimming Pool, Central AC, Backyard, Smart Home System",2025-03-22,https://images.pexels.com/photos/17924970/pexels-photo-17924970.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0066,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,154568,2869,"Atlanta, GA",5,5,Condo,"Security System, Central AC, Swimming Pool, Fireplace",2025-06-15,https://images.pexels.com/photos/7031608/pexels-photo-7031608.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0067,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,135248,1750,"Atlanta, GA",3,2,Condo,"Solar Panels, Garage, Security System, Smart Home System",2025-02-17,https://images.pexels.com/photos/4070983/pexels-photo-4070983.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0068,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1517970,1107,"New York, NY",6,2,Apartment,"Central AC, Fireplace, Backyard, Solar Panels, Smart Home System",2025-07-11,https://images.pexels.com/photos/35306093/pexels-photo-35306093.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0069,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1372181,2912,"Austin, TX",6,5,Condo,"Central AC, Fireplace, Backyard, Solar Panels, Security System, Walk-in Closet",2025-08-07,https://images.pexels.com/photos/2119714/pexels-photo-2119714.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0070,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1190224,3361,"San Francisco, CA",2,3,Single Family Home,"Backyard, Fireplace, Central AC",2024-12-31,https://images.pexels.com/photos/9976121/pexels-photo-9976121.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0071,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,318727,2570,"Los Angeles, CA",5,4,Townhouse,"Swimming Pool, Central AC, Smart Home System, Garage, Solar Panels",2025-05-05,https://images.pexels.com/photos/32666364/pexels-photo-32666364.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0072,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,1759492,3566,"Houston, TX",6,5,Townhouse,"Solar Panels, Security System, Swimming Pool, Backyard, Fireplace",2025-07-07,https://images.pexels.com/photos/4123921/pexels-photo-4123921.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0073,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,332407,5059,"Miami, FL",5,3,Apartment,"Swimming Pool, Walk-in Closet, Smart Home System, Solar Panels, Backyard",2025-05-08,https://images.pexels.com/photos/3010014/pexels-photo-3010014.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0074,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,169263,4673,"Houston, TX",3,2,Single Family Home,"Swimming Pool, Garage, Backyard, Security System, Fireplace, Smart Home System",2025-03-26,https://images.pexels.com/photos/4469150/pexels-photo-4469150.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0075,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1145827,2605,"Atlanta, GA",6,2,Single Family Home,"Solar Panels, Backyard, Fireplace, Central AC, Security System",2024-05-31,https://images.pexels.com/photos/30278097/pexels-photo-30278097.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0076,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1749437,1607,"Seattle, WA",6,2,Condo,"Fireplace, Central AC, Swimming Pool, Backyard, Smart Home System",2025-04-07,https://images.pexels.com/photos/129494/pexels-photo-129494.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0077,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,1543509,5402,"New York, NY",4,5,Penthouse,"Garage, Central AC, Solar Panels, Walk-in Closet",2025-08-20,https://images.pexels.com/photos/8962343/pexels-photo-8962343.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0078,Premium Downtown Condo,Beautiful modern home located in a prime US neighborhood with high investment potential.,432932,1260,"Seattle, WA",4,3,Condo,"Central AC, Swimming Pool, Smart Home System, Garage, Solar Panels, Backyard",2024-10-24,https://images.pexels.com/photos/2455398/pexels-photo-2455398.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0079,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,727904,1553,"Boston, MA",4,4,Penthouse,"Swimming Pool, Smart Home System, Solar Panels, Central AC, Garage, Fireplace",2024-12-21,https://images.pexels.com/photos/7031412/pexels-photo-7031412.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0080,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,587877,1717,"Atlanta, GA",6,2,Townhouse,"Backyard, Swimming Pool, Central AC, Solar Panels",2025-06-07,https://images.pexels.com/photos/277667/pexels-photo-277667.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0081,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1196233,911,"Miami, FL",4,2,Villa,"Walk-in Closet, Swimming Pool, Smart Home System",2024-03-02,https://images.pexels.com/photos/18435276/pexels-photo-18435276.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0082,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,210779,3961,"Houston, TX",3,3,Penthouse,"Swimming Pool, Central AC, Backyard, Walk-in Closet, Security System, Solar Panels",2025-10-12,https://images.pexels.com/photos/17174768/pexels-photo-17174768.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0083,Elegant Contemporary Villa,Beautiful modern home located in a prime US neighborhood with high investment potential.,2287918,1650,"Atlanta, GA",2,4,Penthouse,"Garage, Smart Home System, Walk-in Closet, Central AC",2024-05-25,https://images.pexels.com/photos/17174766/pexels-photo-17174766.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0084,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,1195749,2576,"San Francisco, CA",5,5,Apartment,"Walk-in Closet, Swimming Pool, Security System",2025-04-26,https://images.pexels.com/photos/17174767/pexels-photo-17174767.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0085,Modern Suburban Home,Beautiful modern home located in a prime US neighborhood with high investment potential.,747916,2943,"Chicago, IL",4,3,Penthouse,"Garage, Fireplace, Backyard",2024-09-16,https://images.pexels.com/photos/7031408/pexels-photo-7031408.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
USA0086,Luxury Family Residence,Beautiful modern home located in a prime US neighborhood with high investment potential.,1292152,2351,"Los Angeles, CA",3,2,Penthouse,"Central AC, Security System, Backyard, Smart Home System",2024-11-19,https://images.pexels.com/photos/1115804/pexels-photo-1115804.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
